Tiempo (ms),RPM
10,0.42
20,0.95
30,1.48
40,3.51
50,5.45
60,7.90
70,10.09
80,12.29
90,13.71
100,15.93
110,18.04
120,20.17
130,22.32
140,24.15
150,25.70
160,27.13
170,28.24
180,29.85
190,30.44
200,31.50
210,32.51
220,33.37
230,34.33
240,35.03
250,35.51
260,35.92
270,36.38
280,36.78
290,37.22
300,37.49
310,37.83
320,38.34
330,38.44
340,38.97
350,39.09
360,39.08
370,38.62
380,38.67
390,39.06
400,38.49
410,39.01
420,38.79
430,38.26
440,38.71
450,39.20
460,39.17
470,39.37
480,39.54
490,39.57
500,39.71
510,39.83
520,39.59
530,39.62
540,39.64
550,39.88
560,40.08
570,40.26
580,40.52
590,40.52
600,40.51
610,40.29
620,40.21
630,40.14
640,40.30
650,40.33
660,40.58
670,40.23
680,39.94
690,39.91
700,39.32
710,39.95
720,39.81
730,39.35
740,39.52
750,39.44
760,39.49
770,39.64
780,39.21
790,39.63
800,39.87
810,39.96
820,39.93
830,39.57
840,39.59
850,39.62
860,39.86
870,39.85
880,39.61
890,39.63
900,39.65
910,39.55
920,39.92
930,39.44
940,39.60
950,39.74
960,39.96
970,39.82
980,39.25
990,39.55
1000,39.24
1010,39.65
1020,39.22
1030,39.41
1040,39.80
1050,39.68
1060,39.69
1070,39.70
1080,39.71
1090,39.71
1100,39.72
1110,39.95
1120,39.92
1130,40.01
1140,39.97
1150,39.93
1160,40.13
1170,39.96
1180,39.82
1190,39.92
1200,39.78
1210,40.00
1220,39.85
1230,39.50
1240,39.42
1250,39.14
1260,38.78
1270,39.04
1280,39.26
1290,39.33
1300,39.28
1310,39.46
1320,39.28
1330,39.46
1340,39.73
1350,39.96
1360,39.59
1370,39.50
1380,39.43
1390,39.70
1400,39.93
1410,39.91
1420,39.99
1430,39.73
1440,39.74
1450,39.96
1460,40.16
1470,39.87
1480,39.63
1490,39.76
1500,39.98
1510,39.38
1520,39.33
1530,38.38
1540,38.25
1550,38.81
1560,39.51
1570,39.55
1580,39.69
1590,39.92
1600,39.22
1610,39.42
1620,39.47
1630,39.62
1640,39.75
1650,39.75
1660,39.86
1670,40.07
1680,40.47
1690,40.59
1700,40.69
1710,40.55
1720,40.77
1730,40.50
1740,40.39
1750,40.41
1760,40.42
1770,40.21
1780,40.36
1790,40.38
1800,40.40
1810,40.75
1820,41.05
1830,40.63
1840,40.95
1850,40.55
1860,40.20
1870,40.25
1880,39.83
1890,39.93
1900,39.91
1910,40.00
1920,39.85
1930,39.72
1940,39.27
1950,39.46
1960,39.73
1970,39.96
1980,40.15
1990,39.98
2000,39.72
2010,39.61
2020,39.63
2030,39.31
2040,39.60
2050,39.40
2060,39.34
2070,39.51
2080,39.89
2090,39.98
2100,39.94
2110,40.48
2120,40.03
2130,40.33
2140,39.90
2150,40.22
2160,39.81
2170,39.69
2180,39.92
2190,40.01
2200,40.20
2210,40.24
2220,40.05
2230,40.23
2240,39.82
2250,40.04
2260,40.44
2270,40.45
2280,40.46
2290,40.47
2300,40.47
2310,40.81
2320,40.43
2330,40.44
2340,40.22
2350,40.26
2360,40.41
2370,40.65
2380,40.40
2390,40.19
2400,40.13
2410,39.96
2420,40.26
2430,39.96
2440,40.15
2450,40.32
2460,40.23
2470,40.05
2480,40.12
2490,40.06
2500,40.13
2510,40.30
2520,40.44
2530,40.34
2540,39.91
2550,40.22
2560,40.38
2570,40.28
2580,40.09
2590,40.15
2600,39.98
2610,39.83
2620,39.93
2630,40.02
2640,40.09
2650,40.49
2660,40.38
2670,40.40
2680,40.30
2690,40.22
2700,40.48
2710,40.37
2720,40.39
2730,40.07
2740,40.14
2750,40.42
2760,39.98
2770,39.94
2780,40.03
2790,39.76
2800,39.87
2810,40.30
2820,40.78
2830,40.52
2840,40.74
2850,40.70
2860,39.88
2870,39.98
2880,39.83
2890,39.93
2900,39.57
2910,39.93
2920,40.24
2930,40.06
2940,39.90
2950,39.87
2960,40.19
2970,39.79
2980,39.56
2990,39.81
3000,39.69
3010,39.36
3020,39.42
3030,39.47
3040,39.62
3050,39.53
3060,39.34
3070,39.29
3080,39.58
3090,39.83
3100,39.82
3110,39.81
3120,39.69
3130,40.15
3140,40.09
3150,40.04
3160,40.11
3170,39.72
3180,40.17
3190,40.00
3200,40.30
3210,40.33
3220,40.58
3230,40.45
3240,40.12
3250,40.52
3260,40.40
3270,40.30
3280,40.11
3290,40.05
3300,40.12
3310,40.07
3320,40.36
3330,40.38
3340,40.28
3350,40.20
3360,39.91
3370,40.11
3380,40.39
3390,40.75
3400,41.05
3410,40.97
3420,40.78
3430,40.74
3440,40.59
3450,40.69
3460,40.66
3470,40.53
3480,40.86
3490,40.81
3500,40.76
3510,40.61
3520,40.03
3530,39.76
3540,40.10
3550,40.27
3560,40.08
3570,40.14
3580,40.31
3590,40.34
3600,40.25
3610,39.72
3620,39.62
3630,39.41
3640,39.69
3650,39.92
3660,40.12
3670,39.95
3680,39.70
3690,39.82
3700,39.69
3710,39.48
3720,39.41
3730,39.68
3740,39.13
3750,39.45
3760,40.06
3770,40.12
3780,39.39
3790,39.67
3800,40.02
3810,39.87
3820,39.85
3830,40.17
3840,39.88
3850,40.09
3860,40.38
3870,40.06
3880,40.12
3890,39.95
